Date,Open,High,Low,Close,Negativity,Positivity
09/24/2020,78.4,78.5,78.4,78.4,14.9,14.5
09/25/2020,78.8,78.9,78.8,78.8,11.6,15.4
09/28/2020,80.6,80.6,80.5,80.6,10.1,9.9
09/29/2020,80.3,80.3,80.3,80.3,13.5,15.6
09/30/2020,80.7,80.7,80.6,80.7,17.6,15.4
10/01/2020,80.7,80.7,80.6,80.7,14.7,15.0
10/02/2020,77.9,78.0,77.9,77.9,13.9,16.6
10/05/2020,82.4,82.4,82.4,82.4,11.7,12.8
10/06/2020,81.2,81.2,81.1,81.2,16.1,14.6
10/07/2020,81.0,81.0,81.0,81.0,11.1,14.6
10/08/2020,80.5,80.5,80.5,80.5,16.5,15.1
10/09/2020,80.4,80.4,80.4,80.4,11.3,12.7
10/12/2020,85.1,85.1,85.1,85.1,9.4,10.8
10/13/2020,85.5,85.5,85.4,85.5,11.4,15.7
10/14/2020,85.0,85.0,85.0,85.0,12.6,15.1
10/15/2020,82.3,82.4,82.3,82.3,14.0,15.1
10/16/2020,84.3,84.3,84.2,84.3,13.5,14.2
10/19/2020,82.2,82.2,82.1,82.2,8.8,11.7
10/20/2020,78.2,78.2,78.1,78.2,12.5,10.7
10/21/2020,78.6,78.7,78.6,78.6,11.2,12.0
10/22/2020,76.0,76.0,75.9,76.0,15.4,16.3
10/23/2020,73.5,73.5,73.5,73.5,12.5,14.5
10/26/2020,77.0,77.0,76.9,77.0,9.3,10.3
10/27/2020,77.0,77.0,77.0,77.0,12.5,14.7
10/28/2020,75.0,75.0,74.9,75.0,12.1,13.3
10/29/2020,81.9,82.0,81.9,81.9,13.6,13.2
10/30/2020,81.0,81.1,81.0,81.0,13.8,15.9
11/02/2020,80.1,80.1,80.1,80.1,11.9,12.2
11/03/2020,81.9,82.0,81.9,81.9,12.7,12.2
11/04/2020,83.9,84.0,83.9,83.9,11.4,18.5
11/05/2020,86.8,86.8,86.8,86.8,14.1,15.5
11/06/2020,88.2,88.2,88.1,88.2,10.3,13.7
11/09/2020,85.6,85.6,85.5,85.6,7.9,9.5
11/10/2020,86.1,86.1,86.0,86.0,9.3,17.9
11/11/2020,88.3,88.3,88.3,88.3,12.3,18.4
11/12/2020,87.8,87.9,87.8,87.8,11.2,16.5
11/13/2020,87.8,87.9,87.8,87.8,12.6,15.8
11/16/2020,86.6,86.7,86.6,86.6,9.7,10.2
11/17/2020,87.4,87.4,87.4,87.4,10.7,13.2
11/18/2020,87.3,87.4,87.3,87.3,12.2,11.6
11/19/2020,87.1,87.1,87.0,87.1,14.5,11.8
11/20/2020,87.5,87.5,87.5,87.5,11.3,16.8
11/23/2020,85.2,85.2,85.1,85.2,8.2,10.5
11/24/2020,85.7,85.7,85.7,85.7,10.9,13.0
11/25/2020,87.1,87.1,87.1,87.1,14.7,19.5
11/27/2020,87.0,87.0,87.0,87.0,6.6,7.7
11/30/2020,83.3,83.3,83.3,83.3,4.9,5.8
